date      , files , elapsed_seconds, files_per_run, elapsed_seconds_per_run, fps   , fps_avg, fps_min, fps_mid, fps_max, kps    , kps_avg, kps_min, kps_mid, kps_max, count, runs
2026-02-23, 704517,         3689.58,     88064.625,                  461.20, 190.95,  153.30,    5.93,  143.17,  430.05, 1130.14,  758.87,   49.14,  675.32, 1851.82,   400,    8
2026-02-24, 175938,          925.29,         87969,                  462.64, 190.14,  153.20,    5.79,  151.18,  421.94, 1126.10,  754.72,   48.02,  685.31, 1818.10,   100,    2
2026-02-26, 351832,         1862.94,         87958,                  465.73, 188.86,  152.23,    5.87,  140.08,  415.57, 1118.53,  754.70,   48.64,  667.58, 1829.19,   199,    4
2026-02-27, 175938,          938.48,         87969,                  469.24, 187.47,  152.46,    6.77,  146.22,  421.25, 1110.27,  754.75,   56.10,  661.39, 1752.62,   100,    2
2026-03-02, 177144,          936.51,         88572,                  468.26, 189.15,  152.64,    6.49,  148.61,  414.72, 1127.77,  756.02,   53.77,  681.99, 1792.99,   100,    2
2026-03-03,  88572,          471.16,         88572,                  471.16, 187.99,  152.13,    6.55,  153.47,  426.09, 1120.82,  754.83,   54.26,  679.24, 1820.40,    50,    1
2026-03-10, 532170,         2824.97,         88695,                  470.83, 188.38,  152.62,    5.89,  142.30,  425.63, 1125.19,  758.83,   48.80,  685.62, 1914.64,   300,    6
2026-03-13, 266085,         1400.61,         88695,                  466.87, 189.98,  152.35,    6.55,  141.28,  426.22, 1134.73,  758.13,   54.25,  678.52, 1879.13,   150,    3
2026-03-15,  88695,          478.88,         88695,                  478.88, 185.21,  152.33,    7.12,  150.95,  402.18, 1106.26,  760.84,   58.96,  691.33, 1789.35,    50,    1
2026-03-16, 177644,          937.09,         88822,                  468.54, 189.57,  153.20,    6.45,  150.49,  411.51, 1133.38,  764.85,   53.41,  670.09, 1889.17,   100,    2
2026-03-20, 266466,         1412.64,         88822,                  470.88, 188.63,  152.10,    6.03,  140.12,  412.56, 1127.76,  761.01,   49.94,  697.70, 1902.29,   150,    3
2026-03-21,  88822,          467.80,         88822,                  467.80, 189.87,  152.12,    6.19,  146.39,  410.92, 1135.19,  762.17,   51.30,  694.99, 1778.87,    50,    1
2026-03-22, 177644,          947.70,         88822,                  473.85, 187.45,  151.79,    6.15,  144.51,  424.94, 1120.70,  760.51,   51.00,  682.49, 1840.61,   100,    2
2026-03-23, 266745,         1419.41,         88915,                  473.14, 187.93,  152.14,    6.45,  142.39,  421.72, 1123.63,  763.07,   53.41,  682.58, 1968.65,   150,    3
2026-03-24, 266745,         1419.39,         88915,                  473.13, 187.93,  152.33,    5.77,  146.00,  419.62, 1123.64,  761.98,   47.79,  697.83, 1950.45,   150,    3
2026-03-27, 444575,         2385.68,         88915,                  477.14, 186.35,  151.99,    6.27,  141.80,  423.59, 1114.21,  761.53,   51.97,  675.12, 1963.96,   250,    5
2026-03-30, 178264,          946.69,         89132,                  473.34, 188.30,  152.38,    6.72,  142.99,  419.79, 1124.96,  762.72,   55.68,  726.38, 1951.74,   100,    2
2026-04-05, 356528,         1898.32,         89132,                  474.58, 187.81,  152.28,    6.19,  139.62,  418.33, 1122.03,  764.23,   51.28,  670.23, 1959.38,   200,    4
2026-04-06, 178360,          946.60,         89180,                  473.30, 188.42,  152.04,    6.56,  143.25,  420.38, 1126.13,  762.81,   54.39,  691.49, 1926.22,   100,    2
2026-04-07,  89228,          473.13,         89228,                  473.13, 188.59,  151.58,    6.73,  145.47,  392.72, 1127.61,  764.25,   55.73,  709.84, 1891.14,    50,    1
2026-04-08,  89228,          470.02,         89228,                  470.02, 189.84,  153.03,    7.00,  146.56,  397.99, 1135.06,  773.07,   58.03,  710.37, 1982.37,    50,    1
2026-05-04,  89441,          480.22,         89441,                  480.22, 186.25,  152.52,    6.46,  144.52,  403.25, 1115.16,  761.28,   53.54,  764.23, 2023.65,    50,    1
2026-05-19, 179500,          955.09,         89750,                  477.54, 187.94,  152.25,    6.11,  136.69,  405.84, 1117.66,  761.83,   50.66,  678.71, 1985.22,   100,    2
2026-05-23, 176270,          906.85,         88135,                  453.42, 194.38,  153.93,    6.45,  138.02,  405.97, 1163.62,  767.64,   53.46,  764.40, 2086.65,    98,    2
2026-05-24, 179500,          957.18,         89750,                  478.59, 187.53,  150.99,    6.56,  136.09,  402.71, 1115.22,  752.07,   54.39,  681.64, 1999.50,   100,    2
